"Région","Département","Exprimés","Abstentions","Nb_voix_Le_Pen","Voix_Le_Pen","Voix_Zemmour","Voix_Macron","Voix_Mélenchon","Age_18_24ans","Age_30_44ans","Age_45_59ans","Agriculteurs_exploitants","Artisans_commerçants_chefs_d'entreprise","Cadres_professions_intellectuelles_supérieures","Employés","Ouvriers","Professions_intermédiaires","Retraités","Sans_activité_professionelles_ou_autre","Chômage","Salariés_emploi_précaire","Non_diplomés_non_scolarisés","Diplomés_supérieur_non_scolarisés","Indicateur_dépendance_économique","Immigrés","Densité_population","Médiane_revenu_dispo_par_unité_consommation","Rsa","Taux_évolution_pop_solde_migratoire_apparent"
"Occitanie","Tarn-et-Garonne",145820,39625,42183,28.93,8.07,21.76,19.12,6,18.1,20.4,1.8,4.3,5.6,16.6,13.3,12.7,30.3,15.4,13.7,17.4,31.1,24.3,112,9,70.1,20860,39.4,-0.39
"Provence-Alpes-Côte d'Azur","Var",598730,211212,183287,30.61,13.25,23.77,14.91,6.4,16.9,20.3,0.4,5.1,6.3,17,9.2,12.8,32.7,16.6,14.1,15.2,27.1,28.1,116,7.7,180.28,22320,51.9,-0.57
"Provence-Alpes-Côte d'Azur","Vaucluse",303865,101650,89413,29.43,10.03,22.01,20.75,6.8,17.5,20.4,1,4.9,6.5,15.6,12.7,13,29,17.2,16,17.3,30.1,27.2,110,11.1,157.4,20640,50.4,-0.21
"Pays de la Loire","Vendée",419709,120547,97280,23.18,6.11,35.64,14.42,5.8,17.5,19.7,1.4,3.8,4.8,15.1,16.7,12.3,34.7,11.1,10.4,16,28.1,22.1,119,2.5,102.01,22040,17,-0.65
"Nouvelle-Aquitaine","Vienne",231652,68304,54214,23.4,5.15,29.28,21.22,9.7,17.1,19.3,1.2,3.1,7.2,16.4,12.1,13.4,29.8,16.8,12.2,17,27.5,27.4,107,5.3,62.72,21580,45.4,-0.19
"Nouvelle-Aquitaine","Haute-Vienne",202118,55484,45357,22.44,5.34,27.19,21.34,8.4,16.6,20,1.2,3.2,6.8,15.2,11.3,13.3,33.6,15.3,12.4,15.2,28.7,27,112,7.5,67.45,21610,43.8,-0.47
"Grand Est","Vosges",203694,68914,65646,32.23,6.47,25.25,16.03,6.4,16.7,21.2,1,3.6,4.8,15.7,15.5,12.1,33.4,13.9,14.5,16.3,33,20.8,113,4.6,62.06,20900,46.3,-0.8
"Bourgogne-Franche-Comté","Yonne",176511,57549,55164,31.25,7.33,24.14,17.9,5.7,17,20.4,1.4,3.5,5.1,15.9,15.3,12.2,33.1,13.5,13.4,14.6,32.8,20.5,117,7.3,45.2,21390,44.3,-0.66
"Bourgogne-Franche-Comté","Territoire de Belfort",69654,22238,19061,27.37,8.02,24.07,20.96,8.4,18.3,20.1,0.2,2.8,9.2,15.5,14.5,13.7,27.3,16.9,14.4,16.7,26.4,28.7,100,9.7,231.88,22370,49.7,-0.21
"Île-de-France","Essonne",594941,192200,105862,17.79,6.6,27.65,28.12,8.7,20.1,19.9,0.1,2.8,13.7,17.2,10,17.4,21.4,17.4,10.9,12.5,24.5,36.8,90,16.7,721.38,24410,36,0.44
"Île-de-France","Hauts-de-Seine",774742,208790,64812,8.37,8.1,37.11,25.77,8.4,22.4,19.3,0,3.3,26,14.2,5.4,15.5,18.9,16.7,10.6,11.7,18.5,54.9,81,18.5,9249.8,28810,31.1,0.56
"Île-de-France","Seine-Saint-Denis",543151,239927,64543,11.88,5.15,20.27,49.09,9,22.3,18.4,0,3.2,9.4,20.4,13.3,14.2,16.1,23.4,17.7,15.9,35.7,28.4,84,30.7,6964.03,18470,81.3,0.8
"Île-de-France","Val-de-Marne",589058,195409,69599,11.82,7.37,29.1,32.67,9.1,21.2,19.4,0,3.2,16.1,17.6,8.7,16.3,19.5,18.7,12.4,13,25.1,41,84,21.6,5742.66,23540,51.4,0.54
"Île-de-France","Val-d'Oise",529585,192853,91081,17.2,7.09,26.09,33.17,8.7,20.8,19.3,0.1,3.1,11.6,18.8,10.8,17.2,19.3,19.2,12.9,12.6,27,33.1,90,20,1003.02,22650,46,0.54
