Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2021); ; 
Code;Libellé;Taux de pauvreté (seuil à 60% du revenu médian) 2018
01264;Montracol;N/A
01265;Montréal-la-Cluse;17
01266;Montrevel-en-Bresse;11
01267;Nurieux-Volognat;N/A
01268;Murs-et-Gélignieux;N/A
01269;Nantua;28
01272;Neuville-les-Dames;N/A
01273;Neuville-sur-Ain;N/A
01274;Les Neyrolles;N/A
01275;Neyron;N/A
01276;Niévroz;N/A
01277;Nivollet-Montgriffon;N/A
01279;Oncieu;N/A
01280;Ordonnaz;N/A
01281;Ornex;14
01282;Outriaz;N/A
01283;Oyonnax;26
01284;Ozan;N/A
01285;Parcieux;N/A
01286;Parves et Nattages;N/A
01288;Péron;9
01289;Péronnas;8
01290;Pérouges;N/A
01291;Perrex;N/A
01293;Peyriat;N/A
01294;Peyrieu;N/A
01295;Peyzieux-sur-Saône;N/A
01296;Pirajoux;N/A
01297;Pizay;N/A
01298;Plagne;N/A
01299;Le Plantay;N/A
01301;Polliat;N/A
01302;Pollieu;N/A
01303;Poncin;N/A
01304;Pont-d'Ain;11
01305;Pont-de-Vaux;13
01306;Pont-de-Veyle;N/A
01307;Port;N/A
01308;Pougny;N/A
01309;Pouillat;N/A
01310;Prémeyzel;N/A
01311;Prémillieu;N/A
01313;Prévessin-Moëns;13
01314;Priay;N/A
01317;Ramasse;N/A
01318;Rancé;N/A
01319;Relevant;N/A
01320;Replonges;N/A
01321;Revonnas;N/A
01322;Reyrieux;5
01323;Reyssouze;N/A
01325;Rignieux-le-Franc;N/A
01328;Romans;N/A
01329;Rossillon;N/A
01330;Ruffieu;N/A
01331;Saint-Alban;N/A
01332;Saint-André-de-Bâgé;N/A
01333;Saint-André-de-Corcy;N/A
01334;Saint-André-d'Huiriat;N/A
01335;Saint-André-le-Bouchoux;N/A
01336;Saint-André-sur-Vieux-Jonc;N/A
01337;Saint-Bénigne;N/A
01338;Groslée-Saint-Benoit;N/A
01339;Saint-Bernard;N/A
01342;Sainte-Croix;N/A
01343;Saint-Cyr-sur-Menthon;N/A
01344;Saint-Denis-lès-Bourg;8
01345;Saint-Denis-en-Bugey;N/A
01346;Saint-Didier-d'Aussiat;N/A
01347;Saint-Didier-de-Formans;N/A
01348;Saint-Didier-sur-Chalaronne;8
01349;Saint-Éloi;N/A
01350;Saint-Étienne-du-Bois;N/A
01351;Saint-Étienne-sur-Chalaronne;N/A
01352;Saint-Étienne-sur-Reyssouze;N/A
01353;Sainte-Euphémie;N/A
01354;Saint-Genis-Pouilly;18
01355;Saint-Genis-sur-Menthon;N/A
01356;Saint-Georges-sur-Renon;N/A
01357;Saint-Germain-de-Joux;N/A
01358;Saint-Germain-les-Paroisses;N/A
01359;Saint-Germain-sur-Renon;N/A
01360;Saint-Jean-de-Gonville;N/A
01361;Saint-Jean-de-Niost;N/A
01362;Saint-Jean-de-Thurigneux;N/A
01363;Saint-Jean-le-Vieux;N/A
01364;Saint-Jean-sur-Reyssouze;N/A
01365;Saint-Jean-sur-Veyle;N/A
01366;Sainte-Julie;N/A
01367;Saint-Julien-sur-Reyssouze;N/A
01368;Saint-Julien-sur-Veyle;N/A
01369;Saint-Just;N/A
01370;Saint-Laurent-sur-Saône;N/A
01371;Saint-Marcel;N/A
01372;Saint-Martin-de-Bavel;N/A
01373;Saint-Martin-du-Frêne;N/A
