"Code","Département","Commune","Exprimés_T1","Abstentions_T1","Nb_voix_Le_Pen_T1","Voix_Le_Pen_T1","Exprimés_T2","Abstentions_T2","Nb_voix_Le_Pen_T2","Voix_Le_Pen_T2","Age_18_24ans","Age_30_44ans","Age_45_59ans","Agriculteurs_exploitants","Artisans_commerçants_chefs_d'entreprise","Cadres_professions_intellectuelles_supérieures","Employés","Ouvriers","Professions_intermédiaires","Retraités","Sans_activité_professionelles_ou_autre","Chômage","Salariés_emploi_précaire","Non_diplomés_non_scolarisés","Diplomés_supérieur_non_scolarisés","Indicateur_dépendance_économique","Immigrés","Vivant_quartier_prioritaire","Densité_population","Médiane_revenu_dispo_par_unité_consommation","Ressource_plus_50_pct_Caf","Rsa"
"97731","Polynésie française","Nuku-Hiva",807,1474,122,15.12,1075,1177,412,38.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97732","Polynésie française","Nukutavake",166,87,50,30.12,165,93,70,42.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97733","Polynésie française","Paea",2724,6471,566,20.78,3609,5520,1911,52.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97734","Polynésie française","Papara",1530,7117,340,22.22,2645,5998,1394,52.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97735","Polynésie française","Papeete",6015,12217,1231,20.47,7777,10372,3839,49.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97736","Polynésie française","Pirae",3947,6393,758,19.2,4882,5370,2043,41.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97737","Polynésie française","Puka Puka",69,75,49,71.01,78,66,33,42.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97738","Polynésie française","Punaauia",7013,11625,1362,19.42,8258,10097,3823,46.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97739","Polynésie française","Raivavae",260,520,59,22.69,317,484,173,54.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97740","Polynésie française","Rangiroa",1301,1773,141,10.84,1724,1339,1008,58.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
