Observatoire des territoires - ANCT; ; 
Référentiel géographique : Zones d'emploi (2020); ; 
Code;Libellé;Typologie des zones d'emploi selon l'orientation économique principale
5314;Quimperlé;ZEDRES
5315;Rennes;ZEMET
5316;Saint-Brieuc;ZEAGG
5317;Saint-Malo;ZETOU
5318;Vannes;ZETOU
5319;Vitré;ZEIND
7501;Agen;ZEDIV
7502;Angoulême;ZEDIV
7503;Bayonne;ZEAGG
7504;Bergerac;ZEAGR
7505;Bordeaux;ZEMET
7506;Bressuire;ZEIND
7507;Brive-la-Gaillarde;ZEDIV
7508;Châtellerault;ZEIND
7509;Cognac;ZEAGR
7510;Dax;ZETOU
7511;Guéret;ZEAGR
7512;La Rochelle;ZEAGG
7513;La Teste-de-Buch;ZETOU
7514;Langon;ZEAGR
7515;Lesparre-Médoc;ZEAGR
7516;Libourne;ZEAGR
7517;Limoges;ZEAGG
7518;Marmande;ZEAGR
7519;Mont-de-Marsan;ZEDIV
7520;Niort;ZEAGG
7521;Oloron-Sainte-Marie;ZEAGR
7522;Pau;ZEAGG
7523;Périgueux;ZEDIV
7524;Poitiers;ZEAGG
7525;Rochefort;ZEDIV
7526;Royan;ZETOU
7527;Saint-Junien;ZEAGR
7528;Saintes;ZEDIV
7529;Sarlat-La-Canéda;ZETOU
7530;Thouars;ZEIND
7531;Tulle;ZEDIV
7532;Villeneuve-sur-Lot;ZEAGR
7601;Agde-Pézenas;ZETOU
7602;Albi;ZEDIV
7603;Alès-Le Vigan;ZEDRES
7604;Auch;ZEAGR
7605;Bagnols-sur-Cèze;ZEAGG
7606;Béziers;ZETOU
7607;Cahors;ZEDIV
7608;Carcassonne-Limoux;ZEDIV
7609;Castelsarrasin-Moissac;ZEAGR
7610;Castres-Mazamet;ZEDIV
7611;Figeac-Villefranche;ZEIND
7612;Foix-Pamiers;ZEDIV
7613;Mende;ZEAGR
7614;Millau;ZEAGR
7615;Montauban;ZEDIV
7616;Montpellier;ZEMET
7617;Narbonne;ZETOU
7618;Nîmes;ZEAGG
7619;Nord-du-Lot;ZEIND
7620;Perpignan;ZETOU
7621;Rodez;ZEDIV
7622;Saint-Gaudens;ZEDRES
7623;Sète;ZETOU
7624;Tarbes-Lourdes;ZETOU
7625;Toulouse;ZEMET
8401;Annecy;ZEAGG
8402;Aubenas;ZETOU
8403;Aurillac;ZEDIV
8404;Belley;ZEDRES
8405;Bourg en Bresse;ZEDRES
8406;Bourgoin-Jallieu;ZEDRES
8407;Chambéry;ZEAGG
8408;Clermont-Ferrand;ZEAGG
8409;Grenoble;ZEMET
8410;Issoire;ZEIND
8411;La Maurienne;ZETOU
8412;La Plaine du Forez;ZEDRES
8413;La Tarentaise;ZETOU
8414;La Vallée de l'Arve;ZEIND
8415;Le Chablais;ZETOU
8416;Le Genevois Français;ZEDRES
8417;Le Livradois;ZEIND
8418;Le Mont Blanc;ZETOU
8419;Le Puy en Velay;ZEDIV
8420;Les Sources de la Loire;ZEIND
8421;Lyon;ZEMET
8422;Montélimar;ZEDIV
8423;Montluçon;ZEDIV
8424;Moulins;ZEDIV
8425;Oyonnax;ZEIND
8426;Roanne;ZEDIV
8427;Romans sur Isère;ZEDRES
8428;Saint Etienne;ZEAGG
8429;Saint Flour;ZEAGR
8430;Tarare;ZEDRES
8431;Valence;ZEAGG
