Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Médiane du revenu disponible par UC 2020
01277;Nivollet-Montgriffon;23280
01279;Oncieu;N/A
01280;Ordonnaz;23640
01281;Ornex;35900
01282;Outriaz;24460
01283;Oyonnax;17830
01284;Ozan;22460
01285;Parcieux;27830
01286;Parves et Nattages;26330
01288;Péron;39070
01289;Péronnas;23570
01290;Pérouges;27110
01291;Perrex;23660
01293;Peyriat;25900
01294;Peyrieu;22830
01295;Peyzieux-sur-Saône;24010
01296;Pirajoux;23950
01297;Pizay;27300
01298;Plagne;30150
01299;Le Plantay;25120
01301;Polliat;24380
01302;Pollieu;25610
01303;Poncin;21710
01304;Pont-d'Ain;22190
01305;Pont-de-Vaux;20060
01306;Pont-de-Veyle;21100
01307;Port;22090
01308;Pougny;39040
01309;Pouillat;N/A
01310;Prémeyzel;23710
01311;Prémillieu;N/A
01313;Prévessin-Moëns;40680
01314;Priay;23900
01317;Ramasse;22800
01318;Rancé;27450
01319;Relevant;25040
01320;Replonges;24130
01321;Revonnas;26570
01322;Reyrieux;27960
01323;Reyssouze;22680
01325;Rignieux-le-Franc;25830
01328;Romans;24360
01329;Rossillon;20210
01330;Ruffieu;22700
01331;Saint-Alban;23580
01332;Saint-André-de-Bâgé;24000
01333;Saint-André-de-Corcy;26050
01334;Saint-André-d'Huiriat;24000
01335;Saint-André-le-Bouchoux;24370
01336;Saint-André-sur-Vieux-Jonc;23550
01337;Saint-Bénigne;22680
01338;Groslée-Saint-Benoit;22130
01339;Saint-Bernard;30630
01342;Sainte-Croix;27970
01343;Saint-Cyr-sur-Menthon;23000
01344;Saint-Denis-lès-Bourg;24960
01345;Saint-Denis-en-Bugey;22670
01346;Saint-Didier-d'Aussiat;22760
01347;Saint-Didier-de-Formans;27160
01348;Saint-Didier-sur-Chalaronne;23020
01349;Saint-Éloi;26070
01350;Saint-Étienne-du-Bois;23860
01351;Saint-Étienne-sur-Chalaronne;22740
01352;Saint-Étienne-sur-Reyssouze;21350
01353;Sainte-Euphémie;26670
01354;Saint-Genis-Pouilly;30150
01355;Saint-Genis-sur-Menthon;22910
01356;Saint-Georges-sur-Renon;24080
01357;Saint-Germain-de-Joux;22320
01358;Saint-Germain-les-Paroisses;23770
01359;Saint-Germain-sur-Renon;25760
01360;Saint-Jean-de-Gonville;39050
01361;Saint-Jean-de-Niost;27560
01362;Saint-Jean-de-Thurigneux;27460
01363;Saint-Jean-le-Vieux;23970
01364;Saint-Jean-sur-Reyssouze;22310
01365;Saint-Jean-sur-Veyle;23590
01366;Sainte-Julie;24540
01367;Saint-Julien-sur-Reyssouze;21380
01368;Saint-Julien-sur-Veyle;22850
01369;Saint-Just;26340
01370;Saint-Laurent-sur-Saône;19270
01371;Saint-Marcel;25060
01372;Saint-Martin-de-Bavel;24820
01373;Saint-Martin-du-Frêne;24310
01374;Saint-Martin-du-Mont;25360
01375;Saint-Martin-le-Châtel;24350
01376;Saint-Maurice-de-Beynost;23150
01378;Saint-Maurice-de-Gourdans;26920
01379;Saint-Maurice-de-Rémens;23190
01380;Saint-Nizier-le-Bouchoux;22120
01381;Saint-Nizier-le-Désert;23670
01382;Sainte-Olive;26110
01383;Saint-Paul-de-Varax;22760
01384;Saint-Rambert-en-Bugey;19670
01385;Saint-Rémy;26340
01386;Saint-Sorlin-en-Bugey;25850
01387;Saint-Sulpice;23220
01388;Saint-Trivier-de-Courtes;20620
