Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2022); ; 
Code;Libellé;Densité de population 2019
01262;Montluel;171.68
01263;Montmerle-sur-Saône;906.73
01264;Montracol;69.78
01265;Montréal-la-Cluse;269.37
01266;Montrevel-en-Bresse;250.83
01267;Nurieux-Volognat;53
01268;Murs-et-Gélignieux;38.08
01269;Nantua;270.05
01272;Neuville-les-Dames;56.41
01273;Neuville-sur-Ain;90.96
01274;Les Neyrolles;67.89
01275;Neyron;479.29
01276;Niévroz;155.26
01277;Nivollet-Montgriffon;14.2
01279;Oncieu;10.31
01280;Ordonnaz;9.27
01281;Ornex;794.86
01282;Outriaz;43.65
01283;Oyonnax;620.67
01284;Ozan;105.15
01285;Parcieux;391.4
01286;Parves et Nattages;59.96
01288;Péron;104.46
01289;Péronnas;371.51
01290;Pérouges;67.11
01291;Perrex;76.06
01293;Peyriat;24.83
01294;Peyrieu;62.7
01295;Peyzieux-sur-Saône;79.21
01296;Pirajoux;32.33
01297;Pizay;77.55
01298;Plagne;24.19
01299;Le Plantay;29.26
01301;Polliat;126.91
01302;Pollieu;43.94
01303;Poncin;85.94
01304;Pont-d'Ain;260.61
01305;Pont-de-Vaux;293.5
01306;Pont-de-Veyle;845.88
01307;Port;196.71
01308;Pougny;103.86
01309;Pouillat;13.64
01310;Prémeyzel;32.9
01311;Prémillieu;5.17
01313;Prévessin-Moëns;721.71
01314;Priay;109.64
01317;Ramasse;33.47
01318;Rancé;76.18
01319;Relevant;37.64
01320;Replonges;228.37
01321;Revonnas;114.58
01322;Reyrieux;317.45
01323;Reyssouze;103.67
01325;Rignieux-le-Franc;68.71
01328;Romans;26.75
01329;Rossillon;18.96
01330;Ruffieu;12.97
01331;Saint-Alban;23.14
01332;Saint-André-de-Bâgé;288.52
01333;Saint-André-de-Corcy;162.52
01334;Saint-André-d'Huiriat;73.11
01335;Saint-André-le-Bouchoux;43.13
01336;Saint-André-sur-Vieux-Jonc;48.47
01337;Saint-Bénigne;79.5
01338;Groslée-Saint-Benoit;42.43
01339;Saint-Bernard;464.44
01342;Sainte-Croix;52.17
01343;Saint-Cyr-sur-Menthon;105.91
01344;Saint-Denis-lès-Bourg;472.42
01345;Saint-Denis-en-Bugey;868.2
01346;Saint-Didier-d'Aussiat;56.37
01347;Saint-Didier-de-Formans;311.64
